sentence,max_distance,hobby_relatability_score,job_relatability_score
The chef who enjoys writing.,100,8,5
A writer who enjoys hiking.,50,6,7
A designer who enjoys painting.,50,1,9
The writer who enjoys gardening.,100,9,7
A designer who enjoys reading.,50,4,9
The designer who enjoys photography.,25,7,9
A programmer who enjoys writing.,100,8,8
A teacher who enjoys cooking.,100,5,1
A nurse who enjoys gaming.,100,3,10
A nurse who enjoys painting.,50,1,10
A programmer who enjoys writing.,100,8,8
The writer who enjoys gaming.,50,3,7
The writer who enjoys reading.,25,4,7
A writer who enjoys hiking.,50,6,7
The teacher who enjoys cooking.,25,5,1
A artist who enjoys gardening.,25,9,4
A writer who enjoys hiking.,100,6,7
A engineer who enjoys swimming.,50,10,2
A programmer who enjoys reading.,100,4,8
The writer who enjoys cycling.,100,2,7
The designer who enjoys cycling.,100,2,9
The chef who enjoys painting.,100,1,5
The writer who enjoys painting.,100,1,7
The chef who enjoys gardening.,25,9,5
The scientist who enjoys photography.,50,7,6
The programmer who enjoys writing.,100,8,8
The teacher who enjoys photography.,25,7,1
The chef who enjoys cycling.,100,2,5
The designer who enjoys cycling.,50,2,9
The doctor who enjoys painting.,100,1,3
The programmer who enjoys hiking.,50,6,8
A engineer who enjoys gardening.,100,9,2
The chef who enjoys painting.,25,1,5
The writer who enjoys gardening.,100,9,7
A engineer who enjoys reading.,25,4,2
The chef who enjoys gardening.,100,9,5
A doctor who enjoys cycling.,25,2,3
The nurse who enjoys painting.,50,1,10
The designer who enjoys hiking.,25,6,9
The artist who enjoys cooking.,100,5,4
A writer who enjoys gardening.,50,9,7
The scientist who enjoys cooking.,25,5,6
A engineer who enjoys gardening.,100,9,2
The doctor who enjoys writing.,50,8,3
A engineer who enjoys cooking.,25,5,2
The chef who enjoys gaming.,25,3,5
The designer who enjoys gaming.,50,3,9
The designer who enjoys swimming.,50,10,9
A doctor who enjoys writing.,50,8,3
A teacher who enjoys swimming.,100,10,1
A doctor who enjoys writing.,100,8,3
The chef who enjoys hiking.,25,6,5
A artist who enjoys writing.,100,8,4
A engineer who enjoys photography.,50,7,2
A nurse who enjoys reading.,100,4,10
A programmer who enjoys reading.,25,4,8
A doctor who enjoys photography.,50,7,3
A scientist who enjoys gardening.,100,9,6
A engineer who enjoys writing.,50,8,2
The engineer who enjoys swimming.,50,10,2
The scientist who enjoys photography.,25,7,6
The nurse who enjoys painting.,25,1,10
The engineer who enjoys writing.,50,8,2
The writer who enjoys hiking.,100,6,7
The teacher who enjoys reading.,100,4,1
A teacher who enjoys photography.,25,7,1
The chef who enjoys reading.,50,4,5
The chef who enjoys photography.,50,7,5
A scientist who enjoys reading.,50,4,6
A doctor who enjoys cycling.,25,2,3
A engineer who enjoys hiking.,50,6,2
The programmer who enjoys gaming.,25,3,8
The artist who enjoys swimming.,100,10,4
A engineer who enjoys reading.,25,4,2
The programmer who enjoys cooking.,25,5,8
The designer who enjoys reading.,100,4,9
A scientist who enjoys reading.,50,4,6
The scientist who enjoys gaming.,25,3,6
The engineer who enjoys photography.,50,7,2
The nurse who enjoys reading.,50,4,10
A doctor who enjoys photography.,50,7,3
The writer who enjoys reading.,100,4,7
A programmer who enjoys writing.,100,8,8
A doctor who enjoys cooking.,100,5,3
A doctor who enjoys gaming.,25,3,3
A scientist who enjoys gardening.,100,9,6
The nurse who enjoys gardening.,50,9,10
The scientist who enjoys cycling.,100,2,6
The artist who enjoys painting.,100,1,4
The artist who enjoys swimming.,100,10,4
A artist who enjoys gaming.,100,3,4
A doctor who enjoys cycling.,25,2,3
A engineer who enjoys painting.,100,1,2
The scientist who enjoys photography.,50,7,6
A teacher who enjoys hiking.,100,6,1
The engineer who enjoys gaming.,100,3,2
The scientist who enjoys gardening.,50,9,6
The engineer who enjoys painting.,25,1,2
The designer who enjoys photography.,50,7,9
A teacher who enjoys cooking.,50,5,1
